"seed","random_number"
100,0.307766110869125
101,0.372198376338929
102,0.571628963807598
103,0.215941607719287
104,0.364451949251816
105,0.0979149548802525
106,0.174878478515893
107,0.506588234333321
108,0.455058038700372
109,0.0250945689622313
110,0.614548999350518
111,0.592981284484267
112,0.376672530546784
113,0.553043485619128
114,0.565206156810746
115,0.736429156037048
116,0.74058249942027
117,0.71781506552361
118,0.0468612830154598
119,0.0162258332129568
120,0.391907684737816
121,0.399222349980846
122,0.905020575039089
123,0.287577520124614
124,0.0830154397990555
125,0.824674413306639
126,0.643091264180839
127,0.285107890376821
128,0.724670132622123
129,0.131165210157633
130,0.950232450617477
131,0.206436974462122
132,0.682289758697152
133,0.536011227406561
134,0.200363578274846
135,0.328134304611012
136,0.321220333920792
137,0.649332832079381
138,0.571441247593611
139,0.525106647517532
140,0.973066303646192
141,0.696499749319628
142,0.895209939451888
143,0.943225271301344
144,0.0494146177079529
145,0.753931205254048
146,0.197620301274583
147,0.594918499700725
148,0.0560640415642411
149,0.783013365231454
150,0.051307131536305
151,0.479448032099754
152,0.989872474921867
153,0.997592066181824
154,0.711294803768396
155,0.788163986755535
156,0.0768930825870484
157,0.5048349336721
158,0.797194604296237
159,0.118263932177797
160,0.731893435353413
161,0.395451756194234
162,0.809085062006488
163,0.275977379642427
164,0.511981163173914
165,0.115913188550621
166,0.226354157319292
167,0.16033569118008
168,0.300222688354552
169,0.315573724219576
170,0.984172471100464
171,0.163719046860933
172,0.540354023920372
173,0.854036244563758
174,0.870058757020161
175,0.66359161795117
176,0.0660558908712119
177,0.198672931874171
178,0.973287776112556
179,0.630256613949314
180,0.290595552418381
181,0.340647828998044
182,0.988910319516435
183,0.605698654428124
184,0.329378831898794
185,0.0628540490288287
186,0.11878991080448
187,0.285566801903769
188,0.0508385861758143
189,0.705048084491864
190,0.684979062527418
191,0.438995202770457
192,0.842564480379224
193,0.529962481698021
194,0.27115519088693
195,0.100974700879306
196,0.779200294986367
197,0.728794121881947
198,0.982565350597724
199,0.0281218434683979
200,0.533772448310629
201,0.612584188114852
202,0.128862570039928
203,0.17050133110024
204,0.420502026332542
205,0.980796684976667
206,0.860091791022569
207,0.376756233628839
208,0.633000507717952
209,0.959949327167124
210,0.512010124279186
211,0.234798390883952
212,0.4054856733419
213,0.0223366625141352
214,0.319981756620109
215,0.632078264839947
216,0.947748523205519
217,0.417691254755482
218,0.885661983396858
219,0.136241503059864
220,0.119032545015216
221,0.605491037247702
222,0.931592519162223
223,0.824352919822559
224,0.753800751408562
225,0.0535866913851351
226,0.080542077543214
227,0.69156481907703
228,0.0462017410900444
229,0.788759883260354
230,0.407168375095353
231,0.296981513500214
232,0.960197768406942
233,0.814909122884274
234,0.745619997614995
235,0.983733647270128
236,0.387793875532225
237,0.592106350697577
238,0.640330957481638
239,0.661732341628522
240,0.46626549679786
241,0.591888564871624
242,0.781977394130081
243,0.370052832178771
244,0.185236022341996
245,0.927017299691215
246,0.703108243644238
247,0.5952471755445
248,0.540940156206489
249,0.16566185397096
250,0.265401779906824
251,0.195171546889469
252,0.897607917198911
253,0.604935176437721
254,0.398145136190578
255,0.524290062487125
256,0.470244030002505
257,0.685449249343947
258,0.824348853668198
259,0.371720403432846
260,0.503097830805928
261,0.661419622832909
262,0.361050225095823
263,0.370053818682209
264,0.964988884748891
265,0.594613759312779
266,0.789667062694207
267,0.207393209449947
268,0.628910263301805
269,0.0369398219045252
270,0.415234696352854
271,0.254382238723338
272,0.857857148861513
273,0.310740193817765
274,0.629901704145595
275,0.59963444317691
276,0.359289909945801
277,0.958562755258754
278,0.446684151422232
279,0.135288853431121
280,0.378760501742363
281,0.716149265645072
282,0.372670353855938
283,0.843001339351758
284,0.428967847023159
285,0.71504797693342
286,0.111280993092805
287,0.926345025887713
288,0.142161799827591
289,0.231767056509852
290,0.779834397835657
291,0.0305194584652781
292,0.386252531083301
293,0.815260800998658
294,0.23896856745705
295,0.6529874894768
296,0.670282299863175
297,0.55813180305995
298,0.560497718863189
299,0.274772666627541
300,0.915246691787615
