"Order","Mean","Median","Max","Min","Std. Dev.","Count"
"Phocidae",293967.7,202911.1,1600000,62326.2,390886.4,14
"Bovidae",153795.4,75099.6,800143.1,2967.4,201751.8,36
"Cervidae",106225.9,63232.7,541460.4,9600,150897.2,18
"Felidae",10291.3,6766.2,53954.1,1362.8,14272,12
"Canidae",10174.7,5182,31756.5,1317.1,9549.7,14
"Cercopithecidae",8678.1,7418.7,17729.4,3255.2,4726.2,19
"Mustelidae",5354.9,1675,27410.9,78.4,8266.3,19
"Leporidae",2288.5,2133.3,4837.4,465.6,1407.1,11
"Sciuridae",398.9,147.6,4059.2,-999,1155,13
"Heteromyidae",51.1,42.6,124.6,8.1,34.1,14
